comparison,correlation_with_consistency
vanilla_vs_summary fsl,0.0023522889679520285
vanilla_vs_naive correctness fsl,-0.04687162004611323
vanilla_vs_simple tree,0.004332639301796707
vanilla_vs_complex tree,0.007687645181260016
vanilla_vs_vanilla_no_cot,-0.07962872481914632
vanilla_vs_summary,0.043595655610102695
vanilla_vs_simple verify fsl,-0.014272332688236326
vanilla_vs_complex verify fsl,-0.017104582212869375
vanilla_vs_summary verify fsl,-0.03120746357581321
vanilla_vs_simple verify,-0.006211266252304832
vanilla_vs_complex verify,-0.03441076206247151
vanilla_vs_summary verify,-0.03128720913195067
