comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.07703690183105327
vanilla_vs_naive correctness fsl,-0.0762435321396163
vanilla_vs_simple tree,0.0019714986785354283
vanilla_vs_complex tree,-0.018972282434205137
vanilla_vs_vanilla_no_cot,-0.03319262143123565
vanilla_vs_summary,-0.020419942979695828
vanilla_vs_simple verify fsl,-0.04092528001165817
vanilla_vs_complex verify fsl,-0.06256370903302327
vanilla_vs_summary verify fsl,-0.008194836462540342
vanilla_vs_simple verify,-0.008194836462540342
vanilla_vs_complex verify,0.028837573608014217
vanilla_vs_summary verify,0.021736801784224276
