comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.01883693495839847
vanilla_vs_naive correctness fsl,-0.018836934958398492
vanilla_vs_simple tree,0.04022105070882285
vanilla_vs_complex tree,-0.02687147473894774
vanilla_vs_vanilla_no_cot,-0.002422206658357759
vanilla_vs_summary,-0.018941330906044298
vanilla_vs_simple verify fsl,-0.0778657162944947
vanilla_vs_complex verify fsl,0.003282186611874948
vanilla_vs_summary verify fsl,0.03096902313468476
vanilla_vs_simple verify,-0.008400889381164484
vanilla_vs_complex verify,-0.02182818793226887
vanilla_vs_summary verify,0.024017575043748886
