comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.0011557937147189897
vanilla_vs_naive correctness fsl,0.025184723435264646
vanilla_vs_simple tree,-0.10473180315627016
vanilla_vs_complex tree,-0.10819195141357905
vanilla_vs_vanilla_no_cot,-0.16287816661552618
vanilla_vs_summary,-0.1590601765763979
vanilla_vs_simple verify fsl,0.01801555713083964
vanilla_vs_complex verify fsl,-0.0013878851371148763
vanilla_vs_summary verify fsl,-0.07943344969897133
vanilla_vs_simple verify,-0.0877481958848377
vanilla_vs_complex verify,-0.30336076569822074
vanilla_vs_summary verify,-0.28481777870023284
