comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.12422509358449271
vanilla_vs_naive correctness fsl,-0.12566813000620394
vanilla_vs_simple tree,-0.0480411906418418
vanilla_vs_complex tree,-0.05327832225250482
vanilla_vs_vanilla_no_cot,-0.05875892789842833
vanilla_vs_summary,-0.03129112087089914
vanilla_vs_simple verify fsl,-0.06900127499731261
vanilla_vs_complex verify fsl,-0.08715780792013948
vanilla_vs_summary verify fsl,-0.14767557833846845
vanilla_vs_simple verify,-0.11842569188413601
vanilla_vs_complex verify,-0.0543988293378915
vanilla_vs_summary verify,-0.18025962727533282
