comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.12797258479626275
vanilla_vs_naive correctness fsl,-0.11102777190968705
vanilla_vs_simple tree,-0.0005142563653076941
vanilla_vs_complex tree,-0.03226929798003426
vanilla_vs_vanilla_no_cot,-0.21630061388442923
vanilla_vs_summary,-0.08941941047404528
vanilla_vs_simple verify fsl,-0.018585881075555068
vanilla_vs_complex verify fsl,-0.08733857325409583
vanilla_vs_summary verify fsl,-0.023073633919687617
vanilla_vs_simple verify,-0.010587722927770259
vanilla_vs_complex verify,-0.053341715243161406
vanilla_vs_summary verify,0.02734385690052321
