comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.08500414040226663
vanilla_vs_naive correctness fsl,-0.09414854346832154
vanilla_vs_simple tree,0.03954765538198168
vanilla_vs_complex tree,-0.004442160832071563
vanilla_vs_vanilla_no_cot,-0.13325104153532835
vanilla_vs_summary,-0.020736648051117936
vanilla_vs_simple verify fsl,-0.05720494686558319
vanilla_vs_complex verify fsl,-0.09411198140992548
vanilla_vs_summary verify fsl,-0.10732229145911268
vanilla_vs_simple verify,-0.09815869921538431
vanilla_vs_complex verify,-0.043112455920246255
vanilla_vs_summary verify,-0.09304848386137815
