comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.07429926139719567
vanilla_vs_naive correctness fsl,-0.09233668128653749
vanilla_vs_simple tree,0.07272287137265884
vanilla_vs_complex tree,0.03772385766409803
vanilla_vs_vanilla_no_cot,0.04489835880388698
vanilla_vs_summary,0.10401241478895736
vanilla_vs_simple verify fsl,-0.013291085174224419
vanilla_vs_complex verify fsl,-0.1095847173086343
vanilla_vs_summary verify fsl,-0.11628719514477076
vanilla_vs_simple verify,-0.0337250795545033
vanilla_vs_complex verify,0.02326672743538652
vanilla_vs_summary verify,-0.011880150536149565
