comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.06842805027165565
vanilla_vs_naive correctness fsl,-0.14635608185371352
vanilla_vs_simple tree,-0.09193796996591527
vanilla_vs_complex tree,-0.06817176402418045
vanilla_vs_vanilla_no_cot,-0.08207529348489313
vanilla_vs_summary,0.02904669846337199
vanilla_vs_simple verify fsl,-0.0695181426192709
vanilla_vs_complex verify fsl,-0.11044141281706744
vanilla_vs_summary verify fsl,-0.11402932125075131
vanilla_vs_simple verify,0.024191615574629486
vanilla_vs_complex verify,-0.07467177563311664
vanilla_vs_summary verify,-0.06285942304371216
