comparison,correlation_with_consistency
vanilla_vs_summary fsl,0.0036351343924973484
vanilla_vs_naive correctness fsl,-0.004668340999846223
vanilla_vs_simple tree,0.030906261348015458
vanilla_vs_complex tree,0.12127157066606721
vanilla_vs_vanilla_no_cot,-0.1365869745931491
vanilla_vs_summary,0.12627203942236917
vanilla_vs_simple verify fsl,0.010106428308573464
vanilla_vs_complex verify fsl,0.035707616581492185
vanilla_vs_summary verify fsl,0.04428356766538882
vanilla_vs_simple verify,-0.1367131252398033
vanilla_vs_complex verify,-0.2221327307734695
vanilla_vs_summary verify,-0.07100517263954807
