comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.12638450684180078
vanilla_vs_naive correctness fsl,-0.11147421346892221
vanilla_vs_simple tree,-0.004705341040950946
vanilla_vs_complex tree,-0.06138970472094747
vanilla_vs_vanilla_no_cot,-0.16457381927267603
vanilla_vs_summary,0.09939358671325216
vanilla_vs_simple verify fsl,-0.014586668917948888
vanilla_vs_complex verify fsl,-0.07698338763868284
vanilla_vs_summary verify fsl,-0.027978496322937748
vanilla_vs_simple verify,-0.09730501495612898
vanilla_vs_complex verify,-0.01474817741009093
vanilla_vs_summary verify,-0.05905883046234996
