comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.09149192177725628
vanilla_vs_naive correctness fsl,-0.11611222124390401
vanilla_vs_simple tree,-0.0755311422517883
vanilla_vs_complex tree,-0.044304455587226906
vanilla_vs_vanilla_no_cot,-0.16099134265300877
vanilla_vs_summary,-0.08144998198083131
vanilla_vs_simple verify fsl,-0.11100324449762435
vanilla_vs_complex verify fsl,-0.08940009128174836
vanilla_vs_summary verify fsl,-0.14401939152888593
vanilla_vs_simple verify,-0.07076566552694272
vanilla_vs_complex verify,-0.020445522165129834
vanilla_vs_summary verify,-0.0858701763589168
