comparison,correlation_with_consistency
vanilla_vs_summary fsl,0.04274615098275037
vanilla_vs_naive correctness fsl,0.003992759612547784
vanilla_vs_simple tree,-0.051738290499299774
vanilla_vs_complex tree,0.003710373995291048
vanilla_vs_vanilla_no_cot,-0.023436309800659805
vanilla_vs_summary,-0.02057373932339293
vanilla_vs_simple verify fsl,-0.053462643126752786
vanilla_vs_complex verify fsl,-0.07672146171618172
vanilla_vs_summary verify fsl,-0.10502704762454933
vanilla_vs_simple verify,0.035268871443408456
vanilla_vs_complex verify,0.0021433417053507895
vanilla_vs_summary verify,0.0373638093267718
