comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.11388209800472046
vanilla_vs_naive correctness fsl,-0.1346761303297692
vanilla_vs_simple tree,0.09805496826079356
vanilla_vs_complex tree,0.09746288697432774
vanilla_vs_vanilla_no_cot,-0.16134672758478055
vanilla_vs_summary,-0.03444179299453388
vanilla_vs_simple verify fsl,0.001814436465728167
vanilla_vs_complex verify fsl,-0.05347119718954879
vanilla_vs_summary verify fsl,-0.016013285968223354
vanilla_vs_simple verify,0.0012943121795572353
vanilla_vs_complex verify,0.06794032853191835
vanilla_vs_summary verify,-0.08155236728243778
