comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.04348554492821004
vanilla_vs_naive correctness fsl,-0.1577416610181266
vanilla_vs_simple tree,-0.17373262673430848
vanilla_vs_complex tree,-0.07879243799047247
vanilla_vs_vanilla_no_cot,-0.01528794244538694
vanilla_vs_summary,0.01649760761402762
vanilla_vs_simple verify fsl,-0.06523420933011592
vanilla_vs_complex verify fsl,-0.08788383703067382
vanilla_vs_summary verify fsl,-0.09762270145711804
vanilla_vs_simple verify,0.00915416597749359
vanilla_vs_complex verify,-0.07128872927910132
vanilla_vs_summary verify,-0.034203264789171225
