comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.04219134320371069
vanilla_vs_naive correctness fsl,-0.04310208716110179
vanilla_vs_simple tree,0.0054052999792676875
vanilla_vs_complex tree,-0.038609286113700125
vanilla_vs_vanilla_no_cot,-0.03284868854084704
vanilla_vs_summary,-0.04172198089066498
vanilla_vs_simple verify fsl,-0.10122987167311771
vanilla_vs_complex verify fsl,-0.06436627673902848
vanilla_vs_summary verify fsl,-0.08641876455395035
vanilla_vs_simple verify,-0.0842181943949855
vanilla_vs_complex verify,-0.06843807724824881
vanilla_vs_summary verify,-0.11677430548150493
