comparison,correlation_with_consistency
vanilla_vs_summary fsl,0.052820858154914246
vanilla_vs_naive correctness fsl,-0.04204803262813703
vanilla_vs_simple tree,-0.1251474492985892
vanilla_vs_complex tree,-0.07654816587621255
vanilla_vs_vanilla_no_cot,-0.040096111723813846
vanilla_vs_summary,-0.016037599106509207
vanilla_vs_simple verify fsl,-0.12340745993557718
vanilla_vs_complex verify fsl,-0.18408762408279591
vanilla_vs_summary verify fsl,-0.15687142050845237
vanilla_vs_simple verify,0.05077383736691632
vanilla_vs_complex verify,0.04099027107719243
vanilla_vs_summary verify,-0.09118566905583557
