comparison,correlation_with_consistency
vanilla_vs_summary fsl,0.03758176818408495
vanilla_vs_naive correctness fsl,-0.032375024197846776
vanilla_vs_simple tree,-0.0327530216481465
vanilla_vs_complex tree,-0.03639252232082974
vanilla_vs_vanilla_no_cot,0.0009217037150099864
vanilla_vs_summary,-0.13879285650492595
vanilla_vs_simple verify fsl,-0.06970970971884592
vanilla_vs_complex verify fsl,-0.10958827337427544
vanilla_vs_summary verify fsl,-0.11718072319201105
vanilla_vs_simple verify,0.08721137020671045
vanilla_vs_complex verify,0.07454855595835384
vanilla_vs_summary verify,0.09163370185156443
