comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.195745741724444
vanilla_vs_naive correctness fsl,-0.2328840376964733
vanilla_vs_simple tree,-0.13457366570940396
vanilla_vs_complex tree,-0.17018944447447126
vanilla_vs_vanilla_no_cot,-0.042550590154891405
vanilla_vs_summary,-0.014100159521164222
vanilla_vs_simple verify fsl,-0.2284933466390555
vanilla_vs_complex verify fsl,-0.19679921414410884
vanilla_vs_summary verify fsl,-0.11431409898074311
vanilla_vs_simple verify,-0.011018578996399886
vanilla_vs_complex verify,-0.012495941551372595
vanilla_vs_summary verify,-0.12976597191025477
