comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.21791745939987492
vanilla_vs_naive correctness fsl,-0.14531068344393086
vanilla_vs_simple tree,-0.0001709347409324329
vanilla_vs_complex tree,-0.12429918654477179
vanilla_vs_vanilla_no_cot,-0.14599455500970315
vanilla_vs_summary,0.02667017770291504
vanilla_vs_simple verify fsl,-0.13195729208830087
vanilla_vs_complex verify fsl,-0.12588857289166236
vanilla_vs_summary verify fsl,-0.07466375174394668
vanilla_vs_simple verify,-0.026784706341848045
vanilla_vs_complex verify,-0.03256338866548173
vanilla_vs_summary verify,-0.017088358725363604
