comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.19243409332647934
vanilla_vs_naive correctness fsl,-0.19720439423777852
vanilla_vs_simple tree,-0.11048346789511378
vanilla_vs_complex tree,-0.017101798230735682
vanilla_vs_vanilla_no_cot,-0.11505225601825271
vanilla_vs_summary,-0.028854774595547663
vanilla_vs_simple verify fsl,-0.06762115706788234
vanilla_vs_complex verify fsl,-0.09893208595980608
vanilla_vs_summary verify fsl,-0.07759809295006143
vanilla_vs_simple verify,-0.027669695708532782
vanilla_vs_complex verify,-0.08841933017607777
vanilla_vs_summary verify,-0.14019065280761928
