comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.09020092338183695
vanilla_vs_naive correctness fsl,-0.12290710983594702
vanilla_vs_simple tree,0.06317998673558395
vanilla_vs_complex tree,-0.14850224309429264
vanilla_vs_vanilla_no_cot,-0.1019069442723523
vanilla_vs_summary,-0.20412707634626742
vanilla_vs_simple verify fsl,-0.1428564117599814
vanilla_vs_complex verify fsl,-0.0006941052959045244
vanilla_vs_summary verify fsl,-0.023904015211730956
vanilla_vs_simple verify,-0.03717020382617579
vanilla_vs_complex verify,-0.0875189130067168
vanilla_vs_summary verify,-0.03975011125850911
