comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.15048037715078308
vanilla_vs_naive correctness fsl,-0.15481666557495916
vanilla_vs_simple tree,-0.03386083650464467
vanilla_vs_complex tree,0.08952673438612288
vanilla_vs_vanilla_no_cot,0.008591035288886491
vanilla_vs_summary,0.01397948080397772
vanilla_vs_simple verify fsl,0.013513639801174456
vanilla_vs_complex verify fsl,0.003469881402105718
vanilla_vs_summary verify fsl,0.013513639801174454
vanilla_vs_simple verify,-0.01257661702790243
vanilla_vs_complex verify,0.03392540501752061
vanilla_vs_summary verify,0.08120277253023553
