comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.10504028107075816
vanilla_vs_naive correctness fsl,-0.11728315792435709
vanilla_vs_simple tree,-0.24871215419093948
vanilla_vs_complex tree,-0.19794551716944206
vanilla_vs_vanilla_no_cot,-0.09368900983331005
vanilla_vs_summary,-0.1103439989427069
vanilla_vs_simple verify fsl,-0.16998961203318821
vanilla_vs_complex verify fsl,-0.27758649332464524
vanilla_vs_summary verify fsl,-0.18928873653372733
vanilla_vs_simple verify,-0.18095717392875882
vanilla_vs_complex verify,-0.10784235567740073
vanilla_vs_summary verify,0.024609813073955458
