comparison,correlation_with_consistency
vanilla_vs_summary fsl,0.04860672992945171
vanilla_vs_naive correctness fsl,-0.1438370317494509
vanilla_vs_simple tree,0.03897872853348128
vanilla_vs_complex tree,-0.023143029376437592
vanilla_vs_vanilla_no_cot,-0.17655738931094622
vanilla_vs_summary,-0.15263552923015627
vanilla_vs_simple verify fsl,0.015155788841352248
vanilla_vs_complex verify fsl,-0.11090528987972728
vanilla_vs_summary verify fsl,-0.2313669043474577
vanilla_vs_simple verify,-0.007724288722513316
vanilla_vs_complex verify,0.09980315231351095
vanilla_vs_summary verify,-0.03267605655109331
