comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.08610602463993189
vanilla_vs_naive correctness fsl,-0.11296177855829456
vanilla_vs_simple tree,0.00135486444740839
vanilla_vs_complex tree,-0.06611644799836502
vanilla_vs_vanilla_no_cot,-0.09458504306587506
vanilla_vs_summary,-0.1906499817043632
vanilla_vs_simple verify fsl,-0.07388193724732439
vanilla_vs_complex verify fsl,-0.030769244965851036
vanilla_vs_summary verify fsl,-0.022950913015964063
vanilla_vs_simple verify,-0.08713219516693156
vanilla_vs_complex verify,-0.08545587181666882
vanilla_vs_summary verify,-0.10607701799048194
