comparison,correlation_with_consistency
vanilla_vs_summary fsl,0.04149398143979677
vanilla_vs_naive correctness fsl,-0.07939575828969418
vanilla_vs_simple tree,0.0853031331347467
vanilla_vs_complex tree,-0.03130410560553233
vanilla_vs_vanilla_no_cot,-0.058424897898573074
vanilla_vs_summary,0.08340470910310298
vanilla_vs_simple verify fsl,-0.02034006162333725
vanilla_vs_complex verify fsl,-0.04828096710166649
vanilla_vs_summary verify fsl,0.00042904310283145027
vanilla_vs_simple verify,0.09922497607315363
vanilla_vs_complex verify,0.07831469250776608
vanilla_vs_summary verify,0.03948694317300769
