comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.13073948642767572
vanilla_vs_naive correctness fsl,-0.04338610991851342
vanilla_vs_simple tree,0.03617693665973741
vanilla_vs_complex tree,-0.08534938600552185
vanilla_vs_vanilla_no_cot,0.10543139031631477
vanilla_vs_summary,-0.11683541071599503
vanilla_vs_simple verify fsl,-0.025516038133052487
vanilla_vs_complex verify fsl,-0.02192553006072221
vanilla_vs_summary verify fsl,-0.010031256376629766
vanilla_vs_simple verify,0.0919144961680775
vanilla_vs_complex verify,0.11544671978386004
vanilla_vs_summary verify,0.09592669056493794
