comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.17445524095068568
vanilla_vs_naive correctness fsl,-0.171880081966644
vanilla_vs_simple tree,-0.03173206064453143
vanilla_vs_complex tree,0.05462838255478101
vanilla_vs_vanilla_no_cot,-0.14522182573280124
vanilla_vs_summary,-0.07540831706419308
vanilla_vs_simple verify fsl,-0.01266789708488243
vanilla_vs_complex verify fsl,-0.011302320183385619
vanilla_vs_summary verify fsl,-0.11554458945872292
vanilla_vs_simple verify,0.026231237790514284
vanilla_vs_complex verify,0.046527906151973844
vanilla_vs_summary verify,-0.13228480672630444
