comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.14367328867795273
vanilla_vs_naive correctness fsl,-0.1751543437382343
vanilla_vs_simple tree,-0.17220833483078526
vanilla_vs_complex tree,-0.226265815787651
vanilla_vs_vanilla_no_cot,-0.13100284953332406
vanilla_vs_summary,-0.27833662851909263
vanilla_vs_simple verify fsl,-0.2781374744280499
vanilla_vs_complex verify fsl,-0.204168581053962
vanilla_vs_summary verify fsl,-0.2330939435520029
vanilla_vs_simple verify,-0.00022047509570314317
vanilla_vs_complex verify,-0.05098497753513949
vanilla_vs_summary verify,-0.08192625318379101
