comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.10244054089553989
vanilla_vs_naive correctness fsl,-0.12336375516787344
vanilla_vs_simple tree,-0.09658227627752577
vanilla_vs_complex tree,-0.09119425898669739
vanilla_vs_vanilla_no_cot,-0.17042942066557454
vanilla_vs_summary,0.019299509030437742
vanilla_vs_simple verify fsl,-0.1092167812309662
vanilla_vs_complex verify fsl,-0.1571040722912323
vanilla_vs_summary verify fsl,-0.04944924805481108
vanilla_vs_simple verify,-0.043663139881717536
vanilla_vs_complex verify,-0.024627033560027097
vanilla_vs_summary verify,-0.10570476898045095
