comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.31271311529731727
vanilla_vs_naive correctness fsl,-0.18486595573374967
vanilla_vs_simple tree,-0.0752184620579504
vanilla_vs_complex tree,-0.11641936927875197
vanilla_vs_vanilla_no_cot,-0.15854609248491053
vanilla_vs_summary,-0.011119323516017196
vanilla_vs_simple verify fsl,-0.17643204430662124
vanilla_vs_complex verify fsl,-0.17830876184809336
vanilla_vs_summary verify fsl,-0.14650476525801015
vanilla_vs_simple verify,-0.05440176247611928
vanilla_vs_complex verify,-0.04340806673213582
vanilla_vs_summary verify,-0.1576060937870292
