comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.09377038966715812
vanilla_vs_naive correctness fsl,-0.07832341891686917
vanilla_vs_simple tree,0.013286686505966108
vanilla_vs_complex tree,-0.06773544955746562
vanilla_vs_vanilla_no_cot,-0.014519195692771039
vanilla_vs_summary,-0.08018046052035355
vanilla_vs_simple verify fsl,-0.15481350789932696
vanilla_vs_complex verify fsl,-0.09645786015432646
vanilla_vs_summary verify fsl,-0.19139252641784021
vanilla_vs_simple verify,0.004576035789309513
vanilla_vs_complex verify,-0.050248106879552695
vanilla_vs_summary verify,0.019575770770494397
