comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.25176915045764386
vanilla_vs_naive correctness fsl,-0.25642278302881133
vanilla_vs_simple tree,0.011802478658743058
vanilla_vs_complex tree,-0.011177337518094988
vanilla_vs_vanilla_no_cot,-0.0033561460651255434
vanilla_vs_summary,0.010277157589416238
vanilla_vs_simple verify fsl,-0.24932942285309814
vanilla_vs_complex verify fsl,-0.21750002453752984
vanilla_vs_summary verify fsl,-0.17750636933751063
vanilla_vs_simple verify,-0.04086899201280865
vanilla_vs_complex verify,-0.0186237200696211
vanilla_vs_summary verify,-0.07096739309413513
