comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.06483186720363729
vanilla_vs_naive correctness fsl,-0.07084362697279553
vanilla_vs_simple tree,0.029641810161932482
vanilla_vs_complex tree,0.014624372815086632
vanilla_vs_vanilla_no_cot,-0.07325503742544519
vanilla_vs_summary,0.008567351531401307
vanilla_vs_simple verify fsl,-0.003633970019870391
vanilla_vs_complex verify fsl,-0.018984341599199362
vanilla_vs_summary verify fsl,-0.029068577836681698
vanilla_vs_simple verify,-0.0015409784041274784
vanilla_vs_complex verify,0.004311546058643085
vanilla_vs_summary verify,0.004245024898022555
