comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.09735930679469482
vanilla_vs_naive correctness fsl,-0.0560621840623466
vanilla_vs_simple tree,0.008908456418362087
vanilla_vs_complex tree,-0.01583624074997776
vanilla_vs_vanilla_no_cot,-0.0033061488197056346
vanilla_vs_summary,0.005161315108204594
vanilla_vs_simple verify fsl,-0.011703571014364597
vanilla_vs_complex verify fsl,-0.0640004626271997
vanilla_vs_summary verify fsl,-0.030192329982200724
vanilla_vs_simple verify,-0.014037772539010496
vanilla_vs_complex verify,-0.016025925539213434
vanilla_vs_summary verify,-0.0059533064740810585
