comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.06499316213840782
vanilla_vs_naive correctness fsl,-0.07126091892890248
vanilla_vs_simple tree,0.0703426856729109
vanilla_vs_complex tree,0.08549242945768612
vanilla_vs_vanilla_no_cot,-0.02539097805034004
vanilla_vs_summary,0.012346311397200677
vanilla_vs_simple verify fsl,-0.03491864410665682
vanilla_vs_complex verify fsl,-0.053660887657565555
vanilla_vs_summary verify fsl,-0.020165367953352425
vanilla_vs_simple verify,-0.02490022665810285
vanilla_vs_complex verify,-0.030473315650480323
vanilla_vs_summary verify,-0.0043346458906957765
