comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.2797657300679292
vanilla_vs_naive correctness fsl,-0.15003190740263797
vanilla_vs_simple tree,-0.20439563012300999
vanilla_vs_complex tree,-0.29589269911269506
vanilla_vs_vanilla_no_cot,-0.2326851878087922
vanilla_vs_summary,-0.1852675445827697
vanilla_vs_simple verify fsl,-0.20460423009744536
vanilla_vs_complex verify fsl,-0.09526121006108443
vanilla_vs_summary verify fsl,-0.09802992245431207
vanilla_vs_simple verify,-0.15047284157343965
vanilla_vs_complex verify,-0.2942275202589653
vanilla_vs_summary verify,-0.20985355238287465
