comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.08217909776260567
vanilla_vs_naive correctness fsl,0.05744509784195935
vanilla_vs_simple tree,-0.021555007697839166
vanilla_vs_complex tree,-0.029221464147619343
vanilla_vs_vanilla_no_cot,-0.017963230247035344
vanilla_vs_summary,0.026822841884449316
vanilla_vs_simple verify fsl,0.008447380047382096
vanilla_vs_complex verify fsl,0.03899551625641961
vanilla_vs_summary verify fsl,0.050418430692408166
vanilla_vs_simple verify,0.0637280912084297
vanilla_vs_complex verify,-0.0914414596722001
vanilla_vs_summary verify,-0.11692940790442978
