comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.17261826398238958
vanilla_vs_naive correctness fsl,-0.18407634494513522
vanilla_vs_simple tree,-0.04594089316352891
vanilla_vs_complex tree,-0.007987640284863286
vanilla_vs_vanilla_no_cot,-0.1527578149162656
vanilla_vs_summary,-0.11182707225634617
vanilla_vs_simple verify fsl,-0.05038731301073408
vanilla_vs_complex verify fsl,-0.09324466460297515
vanilla_vs_summary verify fsl,-0.0952382350403855
vanilla_vs_simple verify,-0.07307738582044516
vanilla_vs_complex verify,-0.10074709326694412
vanilla_vs_summary verify,-0.1493711328191072
