comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.07518365942731675
vanilla_vs_naive correctness fsl,-0.014488534335168559
vanilla_vs_simple tree,-0.023639529419653978
vanilla_vs_complex tree,-0.03940346399429031
vanilla_vs_vanilla_no_cot,-0.027942981076432245
vanilla_vs_summary,-0.053832801032791644
vanilla_vs_simple verify fsl,-0.02100591948859828
vanilla_vs_complex verify fsl,-0.1059778702451634
vanilla_vs_summary verify fsl,-0.06002620925273267
vanilla_vs_simple verify,-0.12104464339654625
vanilla_vs_complex verify,-0.03929698134818769
vanilla_vs_summary verify,0.03282174376898234
