comparison,correlation_with_consistency
vanilla_vs_summary fsl,0.18495106556886703
vanilla_vs_naive correctness fsl,0.18169535618134333
vanilla_vs_simple tree,0.08324176097430383
vanilla_vs_complex tree,0.21701514202058356
vanilla_vs_summary,0.19993664643101236
vanilla_vs_simple verify fsl,-0.012464066677399289
vanilla_vs_complex verify fsl,0.0711059373434927
vanilla_vs_summary verify fsl,0.056513019528915395
vanilla_vs_simple verify,0.0389213095445204
vanilla_vs_complex verify,0.24665388799303703
vanilla_vs_summary verify,0.04006916721985807
