comparison,correlation_with_consistency
vanilla_vs_summary fsl,0.03445066387179602
vanilla_vs_naive correctness fsl,0.03946386390398885
vanilla_vs_simple tree,0.04629632671709188
vanilla_vs_complex tree,0.01253434251651117
vanilla_vs_vanilla_no_cot,0.15545288614264854
vanilla_vs_summary,0.06456257752228947
vanilla_vs_simple verify fsl,0.06386493910332204
vanilla_vs_complex verify fsl,0.028585254257507058
vanilla_vs_summary verify fsl,0.15624126194445354
vanilla_vs_simple verify,0.03759951671998081
vanilla_vs_complex verify,0.03413317958609914
vanilla_vs_summary verify,0.03599416583857022
