comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.10611583322100465
vanilla_vs_naive correctness fsl,-0.10100522550544257
vanilla_vs_simple tree,-0.007350729735528937
vanilla_vs_complex tree,0.01776597092099612
vanilla_vs_vanilla_no_cot,-0.15917110530119077
vanilla_vs_summary,-0.1508877445215355
vanilla_vs_simple verify fsl,-0.07008396191363843
vanilla_vs_complex verify fsl,-0.17179945478138345
vanilla_vs_summary verify fsl,0.013822571327148033
vanilla_vs_simple verify,0.08499135120939624
vanilla_vs_complex verify,-0.002751157727377048
vanilla_vs_summary verify,0.16520820935051317
