comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.17520947091233433
vanilla_vs_naive correctness fsl,-0.21674134128000117
vanilla_vs_simple tree,0.043581873753387346
vanilla_vs_complex tree,0.03964516922799162
vanilla_vs_vanilla_no_cot,0.06708370731559661
vanilla_vs_summary,-0.08376854255546001
vanilla_vs_simple verify fsl,-0.18658291569680718
vanilla_vs_complex verify fsl,-0.1337498625546552
vanilla_vs_summary verify fsl,-0.26697020704250934
vanilla_vs_simple verify,-0.010936319314107108
vanilla_vs_complex verify,-0.01801108343341187
vanilla_vs_summary verify,-0.0768987442187378
