question_id,generation_passes,generation_total,generation_pass_rate,generation_tokens,repair_passes,repair_total,repair_pass_rate,repair_tokens
0004,10,254,0.03937007874015748,1029.0,10,254,0.03937007874015748,1862.0
0013,0,182,0.0,1441.0,0,182,0.0,2687.0
0033,57,135,0.4222222222222222,885.0,66,135,0.4888888888888889,1365.0
0056,50,121,0.4132231404958678,1240.0,14,121,0.11570247933884298,2654.0
0073,83,110,0.7545454545454545,1052.0,85,110,0.7727272727272727,1526.0
0074,0,109,0.0,975.0,0,109,0.0,1455.0
0089,2,102,0.0196078431372549,800.0,2,102,0.0196078431372549,1611.0
0091,6,102,0.058823529411764705,1297.0,46,102,0.45098039215686275,2308.0
0124,94,94,1.0,1146.0,0,0,0.0,0.0
0131,27,91,0.2967032967032967,1251.0,38,91,0.4175824175824176,1734.0
0139,52,89,0.5842696629213483,1050.0,0,89,0.0,2440.0
0162,83,83,1.0,1001.0,0,0,0.0,0.0
0166,37,82,0.45121951219512196,1491.0,37,82,0.45121951219512196,2163.0
0183,0,79,0.0,976.0,0,79,0.0,1497.0
0186,2,78,0.02564102564102564,1025.0,2,78,0.02564102564102564,1620.0
Overall,503,1711,0.2939801285797779,1110.6,300,1534,0.19556714471968709,1661.4666666666667
