question_id,generation_passes,generation_total,generation_pass_rate,generation_tokens,repair_passes,repair_total,repair_pass_rate,repair_tokens
1418,0,18,0.0,986.0,0,18,0.0,1312.0
1444,0,17,0.0,1279.0,0,17,0.0,1785.0
1448,0,17,0.0,1166.0,0,17,0.0,1556.0
1458,17,17,1.0,1121.0,0,0,0.0,0.0
1489,3,16,0.1875,949.0,0,16,0.0,1175.0
1517,1,16,0.0625,993.0,1,16,0.0625,1237.0
1533,15,15,1.0,961.0,0,0,0.0,0.0
1573,0,15,0.0,1072.0,0,15,0.0,1930.0
1635,5,14,0.35714285714285715,1032.0,4,14,0.2857142857142857,1265.0
1653,3,13,0.23076923076923078,1379.0,0,13,0.0,2630.0
1668,0,13,0.0,1220.0,0,13,0.0,1981.0
1672,13,13,1.0,962.0,0,0,0.0,0.0
1721,6,12,0.5,921.0,6,12,0.5,1981.0
1736,12,12,1.0,992.0,0,0,0.0,0.0
1748,0,12,0.0,1204.0,0,12,0.0,1867.0
Overall,75,220,0.3409090909090909,1082.4666666666667,11,163,0.06748466257668712,1247.9333333333334
