question_id,generation_passes,generation_total,generation_pass_rate,generation_tokens,repair_passes,repair_total,repair_pass_rate,repair_tokens
3792,0,47,0.0,1107.0,1,47,0.02127659574468085,1549.0
3798,42,47,0.8936170212765957,1042.0,21,47,0.44680851063829785,2072.0
3799,37,47,0.7872340425531915,910.0,25,47,0.5319148936170213,1458.0
3804,4,45,0.08888888888888889,905.0,4,45,0.08888888888888889,1478.0
3810,0,49,0.0,1999.0,0,49,0.0,2556.0
3819,0,42,0.0,1342.0,0,42,0.0,3202.0
3823,0,42,0.0,1192.0,1,42,0.023809523809523808,1619.0
3836,8,40,0.2,1641.0,6,40,0.15,2188.0
3843,2,39,0.05128205128205128,1091.0,0,39,0.0,1726.0
3849,16,38,0.42105263157894735,1388.0,18,38,0.47368421052631576,1876.0
3876,0,34,0.0,1079.0,0,34,0.0,2133.0
3913,7,27,0.25925925925925924,1361.0,9,27,0.3333333333333333,1826.0
3934,0,25,0.0,1194.0,0,25,0.0,1880.0
3972,0,22,0.0,1000.0,0,22,0.0,2118.0
3974,5,21,0.23809523809523808,879.0,10,21,0.47619047619047616,1063.0
Overall,121,565,0.21415929203539824,1208.6666666666667,95,565,0.168141592920354,1916.2666666666667
