question_id,generation_passes,generation_total,generation_pass_rate,generation_tokens,repair_passes,repair_total,repair_pass_rate,repair_tokens
4498,4,4,1.0,801.0,0,0,0.0,0.0
4505,4,4,1.0,700.0,0,0,0.0,0.0
4507,0,3,0.0,1789.0,0,3,0.0,2739.0
4514,2,3,0.6666666666666666,1837.0,0,3,0.0,2202.0
4544,1,3,0.3333333333333333,931.0,1,3,0.3333333333333333,1518.0
4553,3,3,1.0,823.0,0,0,0.0,0.0
4586,3,3,1.0,699.0,0,0,0.0,0.0
4610,3,3,1.0,936.0,0,0,0.0,0.0
4662,0,2,0.0,750.0,0,2,0.0,1057.0
4663,0,2,0.0,763.0,0,2,0.0,1045.0
4667,0,2,0.0,734.0,0,2,0.0,1410.0
4677,2,2,1.0,955.0,0,0,0.0,0.0
4681,0,2,0.0,893.0,0,2,0.0,1772.0
4704,1,2,0.5,920.0,2,2,1.0,1379.0
4716,2,2,1.0,770.0,0,0,0.0,0.0
Overall,25,40,0.625,953.4,3,19,0.15789473684210525,874.8
