question_id,generation_passes,generation_total,generation_pass_rate,generation_tokens,repair_passes,repair_total,repair_pass_rate,repair_tokens
3445,0,2,0.0,1192.0,1,2,0.5,1726.0
3470,0,2,0.0,1060.0,0,2,0.0,1615.0
3481,0,2,0.0,1740.0,0,2,0.0,2453.0
3484,1,2,0.5,1425.0,1,2,0.5,2295.0
3548,0,2,0.0,1808.0,0,2,0.0,2211.0
3557,0,2,0.0,1351.0,0,2,0.0,1512.0
3605,2,2,1.0,865.0,0,0,0.0,0.0
3609,0,2,0.0,1497.0,1,2,0.5,2674.0
3634,0,2,0.0,1270.0,0,2,0.0,2044.0
3635,0,2,0.0,1529.0,0,2,0.0,2183.0
3671,0,3,0.0,1068.0,0,3,0.0,1550.0
3679,1,2,0.5,1427.0,1,2,0.5,1850.0
3709,66,92,0.717391304347826,952.0,61,92,0.6630434782608695,1431.0
3754,2,58,0.034482758620689655,1064.0,0,58,0.0,1435.0
3769,6,54,0.1111111111111111,1097.0,0,54,0.0,1911.0
Overall,78,229,0.3406113537117904,1289.6666666666667,65,227,0.28634361233480177,1792.6666666666667
