question_id,generation_passes,generation_total,generation_pass_rate,generation_tokens,repair_passes,repair_total,repair_pass_rate,repair_tokens
4741,3,4,0.75,1101.0,2,4,0.5,1862.0
4750,0,3,0.0,1135.0,1,3,0.3333333333333333,1533.0
4786,3,3,1.0,1141.0,0,0,0.0,0.0
4787,3,3,1.0,941.0,0,0,0.0,0.0
4801,2,3,0.6666666666666666,1155.0,0,3,0.0,1555.0
4855,0,3,0.0,886.0,3,3,1.0,1195.0
4862,2,2,1.0,796.0,0,0,0.0,0.0
4864,2,2,1.0,969.0,0,0,0.0,0.0
4870,2,2,1.0,1447.0,0,0,0.0,0.0
4873,0,2,0.0,1198.0,0,2,0.0,2431.0
4890,0,2,0.0,1387.0,0,2,0.0,1972.0
4897,0,2,0.0,1379.0,0,2,0.0,2243.0
4952,1,2,0.5,1055.0,1,2,0.5,1756.0
4966,0,2,0.0,1186.0,0,2,0.0,1685.0
4984,1,2,0.5,1243.0,1,2,0.5,2245.0
Overall,19,37,0.5135135135135135,1134.6,8,25,0.32,1231.8
