question_id,generation_passes,generation_total,generation_pass_rate,generation_tokens,repair_passes,repair_total,repair_pass_rate,repair_tokens
3220,1,3,0.3333333333333333,1102.0,0,3,0.0,1724.0
3286,1,3,0.3333333333333333,1093.0,1,3,0.3333333333333333,1233.0
3287,1,3,0.3333333333333333,1279.0,0,3,0.0,1202.0
3323,0,2,0.0,1144.0,0,2,0.0,1667.0
3335,0,2,0.0,1035.0,0,2,0.0,1435.0
3353,0,2,0.0,1335.0,0,2,0.0,1849.0
3355,0,2,0.0,1793.0,0,2,0.0,2720.0
3371,1,2,0.5,1477.0,0,2,0.0,2571.0
3375,0,2,0.0,1143.0,0,2,0.0,1954.0
3376,0,2,0.0,1983.0,0,2,0.0,2863.0
3388,1,2,0.5,1099.0,0,2,0.0,1447.0
3404,0,2,0.0,1617.0,0,2,0.0,2852.0
3411,0,2,0.0,1386.0,0,2,0.0,2223.0
3433,0,2,0.0,1299.0,1,2,0.5,2203.0
3441,0,4,0.0,1749.0,2,4,0.5,2423.0
Overall,5,35,0.14285714285714285,1368.9333333333334,4,35,0.11428571428571428,2024.4
