question_id,generation_passes,generation_total,generation_pass_rate,generation_tokens,repair_passes,repair_total,repair_pass_rate,repair_tokens
1756,0,12,0.0,1333.0,0,12,0.0,1809.0
1759,0,12,0.0,1145.0,0,12,0.0,1775.0
1775,3,12,0.25,1209.0,1,12,0.08333333333333333,1357.0
1777,3,12,0.25,1356.0,2,12,0.16666666666666666,1863.0
1825,3,11,0.2727272727272727,1170.0,0,11,0.0,2134.0
1850,5,10,0.5,1124.0,2,10,0.2,2135.0
1863,2,10,0.2,1197.0,1,10,0.1,1426.0
1865,6,10,0.6,1053.0,0,10,0.0,3011.0
1870,0,10,0.0,1136.0,0,10,0.0,1457.0
1875,0,10,0.0,996.0,0,10,0.0,2060.0
1906,0,10,0.0,866.0,0,10,0.0,1141.0
1917,0,10,0.0,1324.0,0,10,0.0,2461.0
1956,5,9,0.5555555555555556,1375.0,0,9,0.0,1745.0
1962,3,9,0.3333333333333333,1190.0,3,9,0.3333333333333333,1710.0
1967,0,9,0.0,1216.0,9,9,1.0,1722.0
Overall,30,156,0.19230769230769232,1179.3333333333333,18,156,0.11538461538461539,1853.7333333333333
