question_id,generation_passes,generation_total,generation_pass_rate,generation_tokens,repair_passes,repair_total,repair_pass_rate,repair_tokens
3017,3,5,0.6,834.0,3,5,0.6,1170.0
3019,3,4,0.75,1159.0,1,4,0.25,2137.0
3054,1,4,0.25,1856.0,2,4,0.5,3391.0
3062,1,4,0.25,1255.0,1,4,0.25,1921.0
3063,0,3,0.0,1279.0,0,3,0.0,1829.0
3066,1,3,0.3333333333333333,1309.0,0,3,0.0,1791.0
3070,1,3,0.3333333333333333,1605.0,0,3,0.0,1922.0
3077,0,3,0.0,1415.0,0,3,0.0,2060.0
3083,2,3,0.6666666666666666,1477.0,0,3,0.0,1980.0
3097,1,3,0.3333333333333333,1421.0,0,3,0.0,1606.0
3117,3,3,1.0,905.0,0,0,0.0,0.0
3135,1,3,0.3333333333333333,1406.0,0,3,0.0,2493.0
3161,0,3,0.0,1141.0,0,3,0.0,1619.0
3186,0,3,0.0,797.0,0,3,0.0,1082.0
3209,0,3,0.0,3612.0,0,3,0.0,3770.0
Overall,17,50,0.34,1431.4,7,47,0.14893617021276595,1918.0666666666666
