question_id,generation_passes,generation_total,generation_pass_rate,generation_tokens,repair_passes,repair_total,repair_pass_rate,repair_tokens
4004,46,155,0.2967741935483871,1246.0,45,155,0.2903225806451613,1608.0
4058,9,37,0.24324324324324326,1490.0,11,37,0.2972972972972973,2048.0
4063,1,34,0.029411764705882353,949.0,16,34,0.47058823529411764,1501.0
4065,32,32,1.0,1316.0,0,0,0.0,0.0
4100,4,26,0.15384615384615385,1152.0,1,26,0.038461538461538464,1950.0
4108,19,24,0.7916666666666666,976.0,19,24,0.7916666666666666,1530.0
4117,10,23,0.43478260869565216,998.0,12,23,0.5217391304347826,1847.0
4155,4,19,0.21052631578947367,887.0,4,19,0.21052631578947367,1100.0
4164,17,18,0.9444444444444444,799.0,12,18,0.6666666666666666,880.0
4182,17,17,1.0,1040.0,0,0,0.0,0.0
4193,16,16,1.0,1227.0,0,0,0.0,0.0
4195,13,16,0.8125,806.0,6,16,0.375,1179.0
4211,0,15,0.0,888.0,2,15,0.13333333333333333,1607.0
4217,15,15,1.0,1032.0,0,0,0.0,0.0
4241,14,14,1.0,917.0,0,0,0.0,0.0
Overall,217,461,0.47071583514099785,1048.2,128,367,0.34877384196185285,1016.6666666666666
