question_id,generation_passes,generation_total,generation_pass_rate,generation_tokens,repair_passes,repair_total,repair_pass_rate,repair_tokens
1976,3,9,0.3333333333333333,1223.0,3,9,0.3333333333333333,1909.0
2024,0,8,0.0,1222.0,0,8,0.0,2150.0
2049,6,8,0.75,1160.0,0,8,0.0,2124.0
2062,2,8,0.25,1275.0,2,8,0.25,1813.0
2092,0,7,0.0,2047.0,4,7,0.5714285714285714,2923.0
2093,3,7,0.42857142857142855,1105.0,3,7,0.42857142857142855,1039.0
2097,2,7,0.2857142857142857,1309.0,2,7,0.2857142857142857,2037.0
2106,2,7,0.2857142857142857,1259.0,0,7,0.0,1996.0
2172,6,6,1.0,1161.0,0,0,0.0,0.0
2176,0,6,0.0,1792.0,0,6,0.0,3308.0
2203,0,6,0.0,1668.0,0,6,0.0,2563.0
2231,3,6,0.5,1669.0,0,6,0.0,2443.0
2246,1,5,0.2,1296.0,1,5,0.2,1730.0
2264,0,5,0.0,1307.0,1,5,0.2,1674.0
2266,0,5,0.0,1505.0,1,5,0.2,2697.0
Overall,28,100,0.28,1399.8666666666666,17,94,0.18085106382978725,2027.0666666666666
