question_id,generation_passes,generation_total,generation_pass_rate,generation_tokens,repair_passes,repair_total,repair_pass_rate,repair_tokens
2535,0,3,0.0,1405.0,0,3,0.0,2264.0
2585,2,2,1.0,887.0,0,0,0.0,0.0
2623,0,2,0.0,1528.0,0,2,0.0,2137.0
2629,0,2,0.0,858.0,0,2,0.0,1649.0
2642,0,2,0.0,1005.0,1,2,0.5,1499.0
2651,0,2,0.0,1077.0,0,2,0.0,1683.0
2662,0,2,0.0,919.0,1,2,0.5,1133.0
2668,0,2,0.0,1116.0,0,2,0.0,1811.0
2673,0,2,0.0,1084.0,0,2,0.0,1628.0
2698,0,2,0.0,1299.0,0,2,0.0,1966.0
2701,0,2,0.0,1245.0,0,2,0.0,2254.0
2709,7,7,1.0,1615.0,0,0,0.0,0.0
2735,1,4,0.25,1865.0,1,4,0.25,3148.0
2742,2,4,0.5,1245.0,2,4,0.5,2401.0
2752,0,3,0.0,1303.0,0,3,0.0,2016.0
Overall,12,41,0.2926829268292683,1230.0666666666666,5,32,0.15625,1705.9333333333334
