question_id,generation_passes,generation_total,generation_pass_rate,generation_tokens,repair_passes,repair_total,repair_pass_rate,repair_tokens
0191,0,77,0.0,1336.0,0,77,0.0,2869.0
0199,8,76,0.10526315789473684,1241.0,6,76,0.07894736842105263,1504.0
0205,29,75,0.38666666666666666,1142.0,22,75,0.29333333333333333,1515.0
0249,3,67,0.04477611940298507,1726.0,0,67,0.0,2381.0
0253,28,67,0.417910447761194,1223.0,29,67,0.43283582089552236,2057.0
0268,46,65,0.7076923076923077,1200.0,34,65,0.5230769230769231,1661.0
0274,0,64,0.0,1779.0,0,64,0.0,2426.0
0300,14,61,0.22950819672131148,1167.0,8,61,0.13114754098360656,1849.0
0304,0,61,0.0,1075.0,9,61,0.14754098360655737,1265.0
0341,24,58,0.41379310344827586,1234.0,1,58,0.017241379310344827,1681.0
0342,3,57,0.05263157894736842,1140.0,48,57,0.8421052631578947,1613.0
0413,51,51,1.0,873.0,0,0,0.0,0.0
0427,1,50,0.02,1233.0,2,50,0.04,1823.0
0434,11,50,0.22,1266.0,11,50,0.22,1600.0
0466,0,48,0.0,962.0,11,48,0.22916666666666666,1454.0
Overall,218,927,0.23516720604099245,1239.8,181,876,0.20662100456621005,1713.2
