comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.10363353690482167
vanilla_vs_naive correctness fsl,-0.013833041549373183
vanilla_vs_simple tree,-0.01139356841776765
vanilla_vs_complex tree,-0.06449989402752146
vanilla_vs_vanilla_no_cot,-0.07964373682104044
vanilla_vs_summary,0.08043120924118329
vanilla_vs_simple verify fsl,0.08610803900640342
vanilla_vs_complex verify fsl,-0.015295759680628147
vanilla_vs_summary verify fsl,0.02039255490416541
vanilla_vs_simple verify,0.07189236929306056
vanilla_vs_complex verify,0.11168566228144604
vanilla_vs_summary verify,0.04183104839295923
