comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.13077433723887263
vanilla_vs_naive correctness fsl,-0.05945664449801513
vanilla_vs_simple tree,0.0706768371443914
vanilla_vs_complex tree,-0.12016461338362036
vanilla_vs_vanilla_no_cot,-0.06138107239529531
vanilla_vs_summary,0.14485164589434985
vanilla_vs_simple verify fsl,-0.017002522990493547
vanilla_vs_complex verify fsl,-0.01274881997961408
vanilla_vs_summary verify fsl,0.04190503853208234
vanilla_vs_simple verify,0.05116424872834452
vanilla_vs_complex verify,0.0030905575171261846
vanilla_vs_summary verify,0.10094941212070926
