comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.16470394706040795
vanilla_vs_naive correctness fsl,-0.08948463196797873
vanilla_vs_simple tree,-0.04040657016894562
vanilla_vs_complex tree,-0.08987430306139664
vanilla_vs_vanilla_no_cot,0.022837283669636728
vanilla_vs_summary,-0.0921801492759571
vanilla_vs_simple verify fsl,-0.09045763593559206
vanilla_vs_complex verify fsl,-0.07213548443542676
vanilla_vs_summary verify fsl,-0.06245135703032818
vanilla_vs_simple verify,-0.01583779056679477
vanilla_vs_complex verify,0.014037253061221316
vanilla_vs_summary verify,0.02838280532447742
