comparison,correlation_with_consistency
vanilla_vs_summary fsl,0.016404470952103865
vanilla_vs_naive correctness fsl,0.01609040164657978
vanilla_vs_simple tree,0.14195550194703
vanilla_vs_complex tree,0.012320242101281308
vanilla_vs_vanilla_no_cot,0.04521428298405627
vanilla_vs_summary,0.03414919099870693
vanilla_vs_simple verify fsl,0.022308775471297088
vanilla_vs_complex verify fsl,0.02919274756517386
vanilla_vs_summary verify fsl,0.12770972507923076
vanilla_vs_simple verify,0.0439362384735737
vanilla_vs_complex verify,-0.03572208601760631
vanilla_vs_summary verify,0.06642673129218263
