comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.08593988917348686
vanilla_vs_naive correctness fsl,-0.08986962554491555
vanilla_vs_simple tree,-0.010026355134179274
vanilla_vs_complex tree,-0.04516904735363685
vanilla_vs_vanilla_no_cot,-0.06445062334245893
vanilla_vs_summary,-0.04618171379518412
vanilla_vs_simple verify fsl,-0.05616486833447864
vanilla_vs_complex verify fsl,-0.07674926353116392
vanilla_vs_summary verify fsl,-0.06068186366302848
vanilla_vs_simple verify,-0.021587575084854333
vanilla_vs_complex verify,-0.00935552813942898
vanilla_vs_summary verify,-0.01284213135767095
