comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.07151068274992853
vanilla_vs_naive correctness fsl,-0.08061378289463443
vanilla_vs_simple tree,0.10091129068843738
vanilla_vs_complex tree,-0.03411112114513811
vanilla_vs_vanilla_no_cot,-0.09545336226193442
vanilla_vs_summary,-0.02788947348462365
vanilla_vs_simple verify fsl,0.060068738729562546
vanilla_vs_complex verify fsl,0.010218491485358304
vanilla_vs_summary verify fsl,0.0023748441070465215
vanilla_vs_simple verify,0.062381077742238035
vanilla_vs_complex verify,0.12448549497237268
vanilla_vs_summary verify,0.07586450063134388
